parameter,estimate,se_design,se_model,kind,deff,lo,hi
f1=~rights_protected,1.4403011663624805,0.08400458475336375,0.05741740781146621,loading,2.1405176597328874,1.2731583929710364,1.6074439397539246
f1=~system_pride,1.474753185875824,0.0843586932992673,0.058932439167113354,loading,2.0490419736557324,1.3069058475535764,1.6426005241980717
f1=~system_support,1.318044882228104,0.07635828016916024,0.05548566633016029,loading,1.893872180072067,1.1661158564928353,1.4699739079633725
f2=~legislature,1.3404642867173275,0.06709654737604798,0.049310207523435796,loading,1.8515126579776884,1.2069632040520268,1.4739653693826282
f2=~police,1.1717080807183802,0.045499436256033685,0.04254509789699564,loading,1.1437022535009669,1.0811784746747508,1.2622376867620095
f2=~political_parties,1.465363653544396,0.07412486225033113,0.054904911376399544,loading,1.8226589347644733,1.317878428896785,1.6128488781920067
f2=~supreme_court,1.485249488753331,0.07235049337283637,0.054781520341904914,loading,1.7442745011031882,1.341294701594039,1.6292042759126228
f2=~media,1.2621619586033572,0.06124355503444364,0.04848962111692533,loading,1.595229614827022,1.1403064947514445,1.38401742245527
f2=~elections,1.3549244470777497,0.06598007271674107,0.05158261850895825,loading,1.6361337768482522,1.223644798772558,1.4862040953829414
respect_institutions|t1,-1.4534569787066396,0.05274230117773982,0.048632761847772404,threshold,1.1761434145120766,-1.5583976140276334,-1.3485163433856457
respect_institutions|t2,-1.0376303719386455,0.04082529259251745,0.03967084847420876,threshold,1.0590479735930556,-1.1188598982611038,-0.9564008456161871
respect_institutions|t3,-0.6490055738561153,0.03663107670627483,0.03504671018018573,threshold,1.0924582632883129,-0.7218899261920911,-0.5761212215201396
respect_institutions|t4,-0.19505195829041844,0.03902014980954555,0.03269744281650194,threshold,1.4241321376068965,-0.2726898167057107,-0.11741409987512619
respect_institutions|t5,0.42660246562210036,0.0346731948536146,0.033606311541078474,threshold,1.0645008736156216,0.3576136840313071,0.4955912472128936
respect_institutions|t6,0.9335626037217045,0.04099345139687622,0.03831259058850765,threshold,1.1448429975098986,0.8519984941260447,1.0151267133173645
rights_protected|t1,-0.9584082103115125,0.03678868418643957,0.038539300286507865,threshold,0.9112149967835662,-1.0316061520952464,-0.8852102685277784
rights_protected|t2,-0.44362371686381674,0.029228116614459704,0.03366484395098183,threshold,0.7537866671717336,-0.5017785007520107,-0.3854689329756228
rights_protected|t3,0.10731242312773884,0.03515378663174236,0.032556599696601365,threshold,1.1659130022017703,0.03736741464883897,0.1772574316066387
rights_protected|t4,0.6758548395226108,0.03700485682681929,0.035354747525250606,threshold,1.0955242013844997,0.6022267819928077,0.749482897052414
rights_protected|t5,1.2923598825117724,0.044781896771284774,0.044641646461372066,threshold,1.0062932545143721,1.2032579549674882,1.3814618100560565
rights_protected|t6,1.8454367297457248,0.07009189818409928,0.06299583055068761,threshold,1.237975444869761,1.7059758385436887,1.984897620947761
system_pride|t1,-0.8468323207624894,0.03902380025093494,0.03702246434905114,threshold,1.1110368736692462,-0.9244774424110886,-0.7691871991138901
system_pride|t2,-0.4247217790833803,0.032756270444708406,0.0335390869880574,threshold,0.9538639255011617,-0.4898964823946722,-0.35954707577208844
system_pride|t3,-0.0026705728050439178,0.030316861129453563,0.03248373500638224,threshold,0.8710368946076237,-0.06299161676445986,0.057650471154372024
system_pride|t4,0.483797281600747,0.03388870162863129,0.033938064228611425,threshold,0.9970931340735465,0.41636939545054763,0.5512251677509463
system_pride|t5,1.0366372234463532,0.04179687836836254,0.03979100533614673,threshold,1.1033616143992742,0.9534745461936306,1.1197999006990758
system_pride|t6,1.5238892304497818,0.05262472780686169,0.050781771762967186,threshold,1.0739004555565645,1.419182529256827,1.6285959316427365
system_support|t1,-1.1572832357837957,0.04880165332582472,0.041720600538614504,threshold,1.3682579136006556,-1.2543832179682741,-1.0601832535993172
system_support|t2,-0.7071875364673571,0.0370622117842638,0.03554088037562348,threshold,1.0874425041708795,-0.78092971237157,-0.6334453605631442
system_support|t3,-0.3304568154788114,0.03301296906579611,0.03312704320266726,threshold,0.993124787683232,-0.3961422685257317,-0.2647713624318911
system_support|t4,0.1451375084427028,0.02884741833941278,0.03261342364779818,threshold,0.7823860913807957,0.08774019470573335,0.20253482217967222
system_support|t5,0.6680884049205239,0.032880851269865195,0.03530839657962935,threshold,0.8672216544349189,0.6026658248452526,0.7335109849957953
system_support|t6,1.1559063747640759,0.03929519286790624,0.04184657795215318,threshold,0.8817773756142272,1.0777212669372016,1.2340914825909501
armed_forces|t1,-1.4908516502697025,0.047371039717434164,0.049602316856450675,threshold,0.912056849562334,-1.585105160123415,-1.39659814041599
armed_forces|t2,-1.18578974723139,0.04446634605745843,0.042322034814803754,threshold,1.1039001868567127,-1.274263827836017,-1.0973156666267632
armed_forces|t3,-0.7947821979063674,0.034414516316517714,0.036491796504972654,threshold,0.8893912478617292,-0.8632562903497272,-0.7263081054630076
armed_forces|t4,-0.33964461419877134,0.034880725583868455,0.033149384118251385,threshold,1.1071847436624924,-0.4090463168452477,-0.27024291155229496
armed_forces|t5,0.21789214304760998,0.03689070322611825,0.03278504911282167,threshold,1.2661413456710533,0.14449121537589504,0.2912930707193249
armed_forces|t6,0.747239299844459,0.038787984769969835,0.03603907643854747,threshold,1.15836953464103,0.6700633770331954,0.8244152226557226
legislature|t1,-0.5898607021258208,0.03817433163884533,0.034607421450359166,threshold,1.2167585328885762,-0.6658156476947394,-0.5139057565569021
legislature|t2,-0.12104918100898561,0.033072576454097696,0.03256401525218597,threshold,1.0314784505642673,-0.1868532340611866,-0.05524512795678464
legislature|t3,0.27517418913111086,0.03584070592966263,0.032951327157863086,threshold,1.1830614088602647,0.2038624267198204,0.3464859515424013
legislature|t4,0.7793717880455944,0.03620749157824043,0.03641407586311299,threshold,0.9886857879460023,0.7073302372456884,0.8514133388455003
legislature|t5,1.34585595615046,0.044196846752453695,0.04601051611651929,threshold,0.922716658032108,1.2579180946271822,1.4337938176737377
legislature|t6,1.7943917001145548,0.057495213784917225,0.0610313480452087,threshold,0.8874777241728307,1.6799942595824742,1.9087891406466355
