variable,level,weighted,se,n
age_cat,16-29,0.4164843952060428,0.007715086795541172,625
age_cat,30-44,0.26538677120129744,0.0068093677530767826,397
age_cat,45-59,0.1922272789216962,0.008172209985615374,285
age_cat,60+,0.12590155467096356,0.007742411536423617,187
sex,Male,0.5129005925143536,0.005876001402112449,753
sex,Female,0.48709940748564634,0.00587600140211244,726
education,Secondary,0.5161932903009184,0.012899906110879886,752
education,Primary,0.18982059346156524,0.011952904821342614,276
education,Tertiary,0.29398611623751636,0.015404035365108025,431
urban,Urban,0.6656705231688983,0.03687209754144525,1009
urban,Rural,0.3343294768311017,0.036872097541445326,485
employment,Employed,0.4494800225191201,0.014499471045612668,660
employment,Unemployed,0.17526177834177364,0.009380229232133176,257
employment,Not in labor force,0.04525936227656422,0.0051374682286947975,66
employment,Student,0.11792043637097872,0.008362927976093901,174
employment,Homemaker,0.15913549810521674,0.010136866612758939,232
employment,Retired,0.05294290238634654,0.005826761022400319,77
