level,p,se,variable,factor,segment,estimator,lo,hi,expected,expected_lo,expected_hi
16-29,0.09468059672105489,0.01792931608905796,age_cat,f1,1,Unweighted,0.05953978291906676,0.12982141052304302,3.625063218656079,3.5751678698182126,3.674958567493945
30-44,-0.10445616204389804,0.023045711756250552,age_cat,f1,1,Unweighted,-0.14962492708424044,-0.059287397003555654,3.3423151269070708,3.278181401918152,3.4064488518959894
45-59,-0.048717836440411826,0.029474448900343234,age_cat,f1,1,Unweighted,-0.10648669474925075,0.0090510218684271,3.421456242286339,3.3394320366567665,3.503480447915911
60+,-0.00469373627707127,0.03808006438039165,age_cat,f1,1,Unweighted,-0.07932929099160546,0.06994181843746292,3.483964693208974,3.377991989811347,3.5899373966066017
16-29,0.10509927643387851,0.0191912441392912,age_cat,f2,2,Unweighted,0.06748512910235238,0.14271342376540463,3.0989782159769295,3.0470256149772887,3.1509308169765706
30-44,-0.08999438005236648,0.0233031445127956,age_cat,f2,2,Unweighted,-0.13566770402397804,-0.044321056080754935,2.8295151651823214,2.7664312421118207,2.892599088252822
45-59,-0.06265944243261795,0.02986517469477922,age_cat,f2,2,Unweighted,-0.12119410922638221,-0.004124775638853689,2.867270137932125,2.7864221484301925,2.9481181274340575
60+,-0.029584310618125973,0.03694243576620419,age_cat,f2,2,Unweighted,-0.10199015422107052,0.04282153298481858,2.912953457854909,2.8129466208105565,3.012960294899261
Primary,0.05591846981235649,0.030507266524227826,education,f1,1,Unweighted,-0.003874673841894466,0.11571161346660745,3.5700260799402495,3.485127654492495,3.6549245053880037
Secondary,0.02340154146015226,0.017187154437633443,education,f1,1,Unweighted,-0.010284662234337043,0.057087745154641566,3.5238563044646076,3.476026311288272,3.5716862976409427
Tertiary,-0.07718091989819033,0.022365031185051187,education,f1,1,Unweighted,-0.12101557553400581,-0.033346264262374845,3.381042395124757,3.318802930596106,3.4432818596534074
Primary,0.059678952238509296,0.030540372774522855,education,f2,2,Unweighted,-1.7907847398308807e-4,0.11953698295100168,3.036243735798548,2.953567918138209,3.1189195534588867
Secondary,0.03740937794577499,0.017774833941519817,education,f2,2,Unweighted,0.00257134358921602,0.07224741230233395,3.005485034891015,2.9573667967561548,3.053603273025875
Tertiary,-0.09401391638783829,0.022944058989901484,education,f2,2,Unweighted,-0.13898344566720763,-0.049044387108468944,2.823963387932135,2.7618515449811025,2.886075230883167
Employed,-0.03978683155719705,0.018901429240414387,employment,f1,1,Unweighted,-0.0768329521247415,-0.0027407109896525894,3.4341370984165254,3.381536463746457,3.4867377330865943
Homemaker,0.03657764563071359,0.029830147776118043,employment,f1,1,Unweighted,-0.021888369663985344,0.09504366092541253,3.542564645074438,3.4595505679182628,3.625578722230613
Not in labor force,-0.06741543834275021,0.06573486022064495,employment,f1,1,Unweighted,-0.19625339690398896,0.06142252021848854,3.394908098734355,3.211975087501477,3.5778411099672325
Retired,-0.05118047258577204,0.05857357437967667,employment,f1,1,Unweighted,-0.16598256881571632,0.06362162364417223,3.4179596217975288,3.2549556950533143,3.5809635485417437
Student,0.1520634571330908,0.03132778496271535,employment,f1,1,Unweighted,0.09066212689075326,0.21346478737542834,3.706539357874321,3.619357518295605,3.793721197453037
Unemployed,0.006951063551225759,0.02983979704991254,employment,f1,1,Unweighted,-0.05153386397258736,0.06543599107503888,3.500498782398085,3.417457852355853,3.5835397124403165
Employed,-0.03449804879053467,0.01927989876401895,employment,f2,2,Unweighted,-0.07228595599359011,0.0032898584125207672,2.9061666104371584,2.8539740125768747,2.9583592082974417
Homemaker,0.039442957311265535,0.030736994306783675,employment,f2,2,Unweighted,-0.020800444523043138,0.09968635914557421,3.0082938115049114,2.925085719858616,3.0915019031512063
Not in labor force,-0.05661595358175142,0.06575800209253795,employment,f2,2,Unweighted,-0.18549926937843528,0.07226736221493243,2.8756173952060307,2.6976039625983543,3.0536308278137074
Retired,-0.08928707072187826,0.053877797660891916,employment,f2,2,Unweighted,-0.19488561370356278,0.01631147225980624,2.8304920997145944,2.6846395586130516,2.976344640816137
Student,0.13861957378013398,0.03408959468839177,employment,f2,2,Unweighted,0.0718051959433182,0.20543395161694977,3.1452763978304294,3.0529924844879095,3.23756031117295
Unemployed,0.030000019230283573,0.032056180090772414,employment,f2,2,Unweighted,-0.03282893922956026,0.0928289776901274,2.9952512403132365,2.908471981931604,3.0820304986948686
Female,0.0024784697563230104,0.017512134772315485,sex,f1,1,Unweighted,-0.031844683689826875,0.03680162320247289,3.4941482855409483,3.445413907217747,3.5428826638641495
Male,-0.0031134936224896576,0.01761924954563324,sex,f1,1,Unweighted,-0.037646588166554515,0.0314196009215752,3.48620843061765,3.437175963457494,3.5352408977778054
Female,0.006737640411035244,0.018377803653005127,sex,f2,2,Unweighted,-0.029282192863803437,0.042757473685873924,2.9631212793587323,2.913370742420923,3.012871816296541
Male,-0.0030152309197079476,0.01772562890646235,sex,f2,2,Unweighted,-0.03775682517969625,0.03172636334028035,2.9496506288510638,2.9016655936255593,2.997635664076568
Rural,0.05576756903489534,0.02099772608250463,urban,f1,1,Unweighted,0.014612782155948953,0.09692235591384173,3.569811820618489,3.5113774184090305,3.6282462228279475
