demographic,level,n,weighted_share,se
age_cat,16-29,653,0.40538226282879686,0.006737071967614368
age_cat,30-44,420,0.26149221589944505,0.006568183892157455
age_cat,45-59,310,0.19463209607855345,0.007519929902128735
age_cat,60+,221,0.13849342519320465,0.007187892999496773
sex,Male,786,0.49935792780964544,0.004548618592600161
sex,Female,799,0.5006420721903545,0.0045486185926001425
education,Secondary,798,0.5134679770926502,0.012108237359839472
education,Primary,312,0.2010904371040027,0.011933256813180495
education,Tertiary,447,0.2854415858033471,0.014889685775523976
urban,Urban,1073,0.6589429092053508,0.036835976766489184
urban,Rural,531,0.34105709079464913,0.036835976766488886
employment,Employed,697,0.4430758113323128,0.013509961146222355
employment,Unemployed,272,0.1730744179702302,0.009130525942951325
employment,Not in labor force,76,0.0485966344238647,0.0056667940495314945
employment,Student,182,0.11497550004720104,0.007895306968024488
employment,Homemaker,256,0.1639408434039175,0.010089974391350318
employment,Retired,88,0.056336792822473745,0.005820508086585154
