kind,item,category,segment,estimate,se,boundary,lo,hi,segment_label
pi,NA,NA,1,0.20779899844177507,0.03621775538887077,FALSE,0.14479836861686873,0.28894925227471885,High Vulnerability and Insecurity
pi,NA,NA,2,0.4997167733619228,0.03554131196988774,FALSE,0.42947407140628147,0.569970656706843,"Secure Assets, High Instability"
pi,NA,NA,3,0.192269977596715,0.04601326752648814,FALSE,0.11661988994744867,0.3003106594223695,Economically Strained and Insecure
pi,NA,NA,4,0.10021425059958715,0.026236494144464814,FALSE,0.05875812880218834,0.16576805534189756,Government-Dependent Vulnerable Segment
rho,refrigerator,1,1,0.16363908383795692,0.04647344882598116,FALSE,0.0905426849093331,0.27772646817025104,High Vulnerability and Insecurity
rho,refrigerator,2,1,0.836360916162043,0.04647344882598109,FALSE,0.7222735318297491,0.9094573150906667,High Vulnerability and Insecurity
rho,refrigerator,1,2,0.007630576721392642,0.005090255627365781,FALSE,0.0020143727389613235,0.028458613336852033,"Secure Assets, High Instability"
rho,refrigerator,2,2,0.9923694232786073,0.005090255627365728,FALSE,0.9715413866631484,0.9979856272610386,"Secure Assets, High Instability"
rho,refrigerator,1,3,0.23807996823364033,0.04738539947632149,FALSE,0.15670022992955795,0.34445983149124193,Economically Strained and Insecure
rho,refrigerator,2,3,0.7619200317663597,0.0473853994763215,FALSE,0.6555401685087581,0.843299770070442,Economically Strained and Insecure
rho,refrigerator,1,4,0.22641846845814578,0.060277552855810004,FALSE,0.12860151612358478,0.3672781299742047,Government-Dependent Vulnerable Segment
rho,refrigerator,2,4,0.7735815315418542,0.06027755285581002,FALSE,0.6327218700257952,0.8713984838764153,Government-Dependent Vulnerable Segment
rho,computer,1,1,0.7385177193595509,0.0825058745799625,FALSE,0.5469081090940859,0.8685697163895327,High Vulnerability and Insecurity
rho,computer,2,1,0.26148228064044926,0.08250587457996245,FALSE,0.13143028361046755,0.4530918909059141,High Vulnerability and Insecurity
rho,computer,1,2,0.2169899060027718,0.0352546222247953,FALSE,0.15496926720262547,0.2951620633969256,"Secure Assets, High Instability"
rho,computer,2,2,0.7830100939972282,0.03525462222479536,FALSE,0.7048379366030743,0.8450307327973747,"Secure Assets, High Instability"
rho,computer,1,3,0.9896756009143125,0.011234804922062662,FALSE,0.9149121203004537,0.9988311800632508,Economically Strained and Insecure
rho,computer,2,3,0.010324399085687453,0.011234804922062802,FALSE,0.0011688199367491012,0.08508787969954881,Economically Strained and Insecure
rho,computer,1,4,0.7510336479809476,0.07083641474631415,FALSE,0.5867045672376419,0.8650527668232579,Government-Dependent Vulnerable Segment
rho,computer,2,4,0.2489663520190524,0.07083641474631414,FALSE,0.1349472331767421,0.4132954327623582,Government-Dependent Vulnerable Segment
rho,home_internet,1,1,0.26532245301869783,0.06743479007062053,FALSE,0.15357693921663315,0.41820316032149035,High Vulnerability and Insecurity
rho,home_internet,2,1,0.734677546981302,0.06743479007062061,FALSE,0.5817968396785094,0.8464230607833668,High Vulnerability and Insecurity
rho,home_internet,1,2,1.3860128160967891e-15,9.929536743712101e-17,TRUE,1.1884461815245215e-15,1.5835794506690567e-15,"Secure Assets, High Instability"
rho,home_internet,2,2,0.9999999999999986,0,TRUE,0.9999999999999986,0.9999999999999986,"Secure Assets, High Instability"
rho,home_internet,1,3,0.5425162594031566,0.0724651808036561,FALSE,0.39880286906303797,0.6794856524413154,Economically Strained and Insecure
rho,home_internet,2,3,0.4574837405968433,0.07246518080365609,FALSE,0.3205143475586846,0.6011971309369619,Economically Strained and Insecure
rho,home_internet,1,4,0.2047914630538295,0.06458945662017264,FALSE,0.10472895152785916,0.3618200185129917,Government-Dependent Vulnerable Segment
