demographic,level,segment,segment_label,estimator,prevalence,se,lo,hi
age_cat,16-29,1,High Vulnerability and Insecurity,Unweighted,0.17151607963246554,0.014751557348157534,0.1445021938271781,0.20238535918912712
age_cat,30-44,1,High Vulnerability and Insecurity,Unweighted,0.24285714285714285,0.020923759052945856,0.20422300749285205,0.28617164966234004
age_cat,45-59,1,High Vulnerability and Insecurity,Unweighted,0.1967741935483871,0.022579901875681034,0.15622572387888764,0.24479373354703862
age_cat,60+,1,High Vulnerability and Insecurity,Unweighted,0.1493212669683258,0.02397438548269485,0.10814266584644684,0.20261759136638632
age_cat,16-29,2,"Secure Assets, High Instability",Unweighted,0.5941807044410413,0.019216267152962124,0.5560338768331528,0.6312236945204646
age_cat,30-44,2,"Secure Assets, High Instability",Unweighted,0.45,0.024275207811380616,0.40301764961737496,0.49789146290403663
age_cat,45-59,2,"Secure Assets, High Instability",Unweighted,0.44516129032258067,0.028226772690463267,0.390733743955007,0.5009368550593947
age_cat,60+,2,"Secure Assets, High Instability",Unweighted,0.3212669683257919,0.03141133491327847,0.26302721176275873,0.3856540792222397
age_cat,16-29,3,Economically Vulnerable and Insecure,Unweighted,0.12404287901990811,0.012899436885056167,0.10089018143800929,0.15161281674058058
age_cat,30-44,3,Economically Vulnerable and Insecure,Unweighted,0.20476190476190476,0.019690127277163755,0.16885067174453675,0.24604974819874453
age_cat,45-59,3,Economically Vulnerable and Insecure,Unweighted,0.25483870967741934,0.024750102099976263,0.20942051894893665,0.3062908154968458
age_cat,60+,3,Economically Vulnerable and Insecure,Unweighted,0.45701357466063347,0.03350911048108002,0.39244792578097604,0.5230565323560697
age_cat,16-29,4,Subsidized Vulnerable Households,Unweighted,0.11026033690658499,0.012257010058618583,0.08842952716124569,0.13667253013096706
age_cat,30-44,4,Subsidized Vulnerable Households,Unweighted,0.10238095238095238,0.014792138595062159,0.07680844402106703,0.1352204772255645
age_cat,45-59,4,Subsidized Vulnerable Households,Unweighted,0.1032258064516129,0.017280441987144166,0.07393492364694285,0.14233731180993173
age_cat,60+,4,Subsidized Vulnerable Households,Unweighted,0.07239819004524888,0.0174320519431192,0.04482302688740904,0.1148970070011497
education,Primary,1,High Vulnerability and Insecurity,Unweighted,0.21474358974358973,0.023248158212659648,0.17267622914679082,0.26379168480208925
education,Secondary,1,High Vulnerability and Insecurity,Unweighted,0.21052631578947367,0.01443180255544952,0.18363040031850264,0.24020251870786508
education,Tertiary,1,High Vulnerability and Insecurity,Unweighted,0.14093959731543623,0.01645790693632789,0.11165689661988841,0.17637711601694164
education,Primary,2,"Secure Assets, High Instability",Unweighted,0.18269230769230768,0.021876388483579944,0.14364152756533913,0.22951420527578156
education,Secondary,2,"Secure Assets, High Instability",Unweighted,0.487468671679198,0.017694248311851197,0.45290418509911556,0.5221534203194902
education,Tertiary,2,"Secure Assets, High Instability",Unweighted,0.7315436241610739,0.0209605760819591,0.6885352072581176,0.7705919535385032
education,Primary,3,Economically Vulnerable and Insecure,Unweighted,0.44551282051282054,0.028138345681030474,0.3912479726781227,0.5011085286268236
education,Secondary,3,Economically Vulnerable and Insecure,Unweighted,0.18922305764411027,0.013865523682587179,0.16352875338322448,0.21790285660947542
education,Tertiary,3,Economically Vulnerable and Insecure,Unweighted,0.08053691275167785,0.012870958103299166,0.05864925234815192,0.1096415652223054
education,Primary,4,Subsidized Vulnerable Households,Unweighted,0.15705128205128205,0.020598899713686687,0.12075516140198835,0.20175377194947186
education,Secondary,4,Subsidized Vulnerable Households,Unweighted,0.11278195488721804,0.011197821660870749,0.09262713754049062,0.13666176399786428
education,Tertiary,4,Subsidized Vulnerable Households,Unweighted,0.04697986577181208,0.010008135167895633,0.030827627891878616,0.07097535045473476
